opening_hours,TotalHours
"{""open"": true, ""displayedHours"": ""11:01-20:28"", ""sun"": ""11:30-21:30"", ""mon"": ""11:30-14:30 16:30-21:00"", ""tue"": ""11:30-14:30 16:30-21:00"", ""wed"": ""11:30-14:30 16:30-21:00"", ""thu"": ""11:30-14:30 16:30-21:00"", ""fri"": ""11:30-14:30 16:30-21:00"", ""sat"": ""11:30-21:30""}",66.95
"{""open"": true, ""displayedHours"": ""11:00-20:00"", ""sun"": ""11:00-20:00"", ""mon"": ""11:00-20:00"", ""tue"": ""11:00-20:00"", ""wed"": ""11:00-20:00"", ""thu"": ""11:00-20:00"", ""fri"": ""11:00-20:00"", ""sat"": ""11:00-20:00""}",72.0
"{""open"": true, ""displayedHours"": ""10:00-20:30"", ""sun"": ""10:00-20:30"", ""mon"": ""10:00-20:40"", ""tue"": ""10:00-20:40"", ""wed"": ""10:00-20:40"", ""thu"": ""10:00-20:40"", ""fri"": ""10:00-20:30"", ""sat"": ""10:00-20:30""}",84.66666666666666
"{""open"": true, ""displayedHours"": ""11:00-20:00"", ""sun"": ""11:00-20:00"", ""mon"": ""11:00-20:00"", ""tue"": ""11:00-20:00"", ""wed"": ""11:00-20:00"", ""thu"": ""11:00-20:00"", ""fri"": ""11:00-20:00"", ""sat"": ""11:00-20:00""}",72.0
"{""open"": true, ""displayedHours"": ""10:00-22:00"", ""sun"": ""10:00-22:00"", ""mon"": ""10:00-22:00"", ""tue"": ""10:00-22:00"", ""wed"": ""10:00-22:00"", ""thu"": ""10:00-22:00"", ""fri"": ""10:00-22:00"", ""sat"": ""10:00-22:00""}",96.0
"{""open"": true, ""displayedHours"": ""10:00-21:30"", ""sun"": ""10:00-21:30"", ""mon"": ""11:00-21:30"", ""tue"": ""11:00-21:30"", ""wed"": ""11:00-21:30"", ""thu"": ""11:00-21:30"", ""fri"": ""11:00-21:30"", ""sat"": ""10:00-21:30""}",87.0
"{""open"": true, ""displayedHours"": ""11:15-20:20"", ""sun"": ""11:15-20:25"", ""mon"": ""11:15-20:25"", ""tue"": ""11:15-20:25"", ""wed"": ""11:15-20:25"", ""thu"": ""11:15-20:30"", ""fri"": ""11:15-20:25"", ""sat"": ""11:15-20:20""}",73.24999999999999
"{""open"": true, ""displayedHours"": ""10:30-20:30"", ""sun"": ""10:30-20:30"", ""mon"": ""10:30-20:30"", ""tue"": ""10:30-20:30"", ""wed"": ""10:30-20:30"", ""thu"": ""10:30-20:30"", ""fri"": ""10:30-20:30"", ""sat"": ""10:30-20:30""}",80.0
"{""open"": true, ""displayedHours"": ""11:00-21:15"", ""sun"": ""11:00-21:15"", ""mon"": ""11:00-21:15"", ""tue"": ""11:00-21:15"", ""wed"": ""11:00-21:15"", ""thu"": ""11:00-21:15"", ""fri"": ""11:00-21:15"", ""sat"": ""11:00-21:15""}",82.0
"{""open"": true, ""displayedHours"": ""12:00-20:00"", ""sun"": ""11:00-20:00"", ""mon"": ""12:00-20:00"", ""tue"": ""12:00-20:00"", ""wed"": ""12:00-20:00"", ""thu"": ""12:00-20:00"", ""fri"": ""12:00-20:00"", ""sat"": ""12:00-20:00""}",65.0
"{""open"": true, ""displayedHours"": ""11:30-21:00"", ""sun"": ""11:30-21:00"", ""mon"": ""11:30-21:00"", ""tue"": ""11:30-21:00"", ""wed"": ""11:30-21:00"", ""thu"": ""11:30-21:00"", ""fri"": ""11:30-21:00"", ""sat"": ""11:30-21:00""}",76.0
"{""open"": true, ""displayedHours"": ""12:00-20:00"", ""sun"": ""12:00-20:00"", ""mon"": ""12:00-20:00"", ""tue"": ""12:00-20:00"", ""wed"": ""12:00-20:00"", ""thu"": ""12:00-20:00"", ""fri"": ""12:00-20:00"", ""sat"": ""12:00-20:00""}",64.0
"{""open"": true, ""displayedHours"": ""09:00-19:00"", ""sun"": ""09:00-19:00"", ""mon"": ""09:00-19:00"", ""tue"": ""09:00-19:00"", ""wed"": ""09:00-19:00"", ""thu"": ""09:00-19:00"", ""fri"": ""09:00-19:00"", ""sat"": ""09:00-19:00""}",80.0
"{""open"": true, ""displayedHours"": ""11:00-20:30"", ""sun"": ""11:00-20:30"", ""mon"": ""11:30-20:30"", ""tue"": ""11:00-20:30"", ""wed"": ""11:00-20:30"", ""thu"": ""11:00-20:30"", ""fri"": ""11:00-20:30"", ""sat"": ""11:00-20:30""}",75.5
"{""open"": true, ""displayedHours"": ""11:10-20:40"", ""sun"": ""11:10-20:40"", ""mon"": ""11:10-20:40"", ""tue"": ""11:10-20:40"", ""wed"": ""11:10-20:40"", ""thu"": ""11:10-20:40"", ""fri"": ""11:10-20:40"", ""sat"": ""11:10-20:40""}",76.0
"{""open"": true, ""displayedHours"": ""10:00-22:00"", ""sun"": ""10:00-22:00"", ""mon"": ""10:00-22:00"", ""tue"": ""10:00-22:00"", ""wed"": ""10:00-22:00"", ""thu"": ""10:00-22:00"", ""fri"": ""10:00-22:00"", ""sat"": ""10:00-22:00""}",96.0
"{""open"": true, ""displayedHours"": ""10:30-21:30"", ""sun"": ""10:30-21:30"", ""mon"": ""10:30-21:30"", ""tue"": ""10:30-21:30"", ""wed"": ""10:30-21:30"", ""thu"": ""10:30-21:30"", ""fri"": ""10:30-21:30"", ""sat"": ""10:30-21:30""}",88.0
"{""open"": true, ""displayedHours"": ""11:20-20:00"", ""sun"": ""11:20-20:00"", ""mon"": ""11:20-20:00"", ""tue"": ""11:20-20:00"", ""wed"": ""11:20-20:00"", ""thu"": ""11:20-20:00"", ""fri"": ""11:20-20:00"", ""sat"": ""11:20-20:00""}",69.33333333333333
"{""open"": true, ""displayedHours"": ""10:00-22:00"", ""sun"": ""10:00-22:00"", ""mon"": ""10:00-21:00"", ""tue"": ""10:00-21:00"", ""wed"": ""10:00-21:00"", ""thu"": ""10:00-21:00"", ""fri"": ""10:00-22:00"", ""sat"": ""10:00-22:00""}",92.0
"{""open"": true, ""displayedHours"": ""10:15-21:00"", ""sun"": ""10:15-21:00"", ""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""Closed"", ""thu"": ""Closed"", ""fri"": ""Closed"", ""sat"": ""10:15-21:00""}",32.25
"{""open"": true, ""displayedHours"": ""11:00-21:30"", ""sun"": ""11:00-21:30"", ""mon"": ""11:00-21:30"", ""tue"": ""11:00-21:30"", ""wed"": ""11:00-21:30"", ""thu"": ""11:00-21:30"", ""fri"": ""11:00-21:30"", ""sat"": ""11:00-21:30""}",84.0
"{""open"": true, ""displayedHours"": ""12:00-19:00"", ""sun"": ""12:00-19:00"", ""mon"": ""12:00-19:00"", ""tue"": ""12:00-19:00"", ""wed"": ""12:00-19:00"", ""thu"": ""12:00-19:00"", ""fri"": ""12:00-19:00"", ""sat"": ""12:00-19:00""}",56.0
"{""open"": true, ""displayedHours"": ""11:00-20:00"", ""sun"": ""11:00-20:00"", ""mon"": ""10:00-20:00"", ""tue"": ""10:00-20:00"", ""wed"": ""10:00-20:00"", ""thu"": ""10:00-20:00"", ""fri"": ""10:00-20:00"", ""sat"": ""11:00-20:00""}",77.0
"{""open"": true, ""displayedHours"": ""11:00-20:45"", ""sun"": ""11:00-20:45"", ""mon"": ""11:00-20:45"", ""tue"": ""11:00-20:45"", ""wed"": ""11:00-20:45"", ""thu"": ""11:00-20:45"", ""fri"": ""11:00-20:45"", ""sat"": ""11:00-20:45""}",78.0
"{""open"": true, ""displayedHours"": ""10:00-21:40"", ""sun"": ""10:00-21:40"", ""mon"": ""10:00-21:40"", ""tue"": ""10:00-21:40"", ""wed"": ""10:00-21:40"", ""thu"": ""10:00-21:40"", ""fri"": ""10:00-21:40"", ""sat"": ""10:00-21:40""}",93.33333333333334
"{""open"": true, ""displayedHours"": ""11:00-20:30"", ""sun"": ""11:00-20:30"", ""mon"": ""11:00-20:30"", ""tue"": ""11:00-20:30"", ""wed"": ""11:00-20:30"", ""thu"": ""11:00-20:30"", ""fri"": ""11:00-20:30"", ""sat"": ""11:00-20:30""}",76.0
"{""open"": true, ""displayedHours"": ""11:30-20:45"", ""sun"": ""11:30-20:45"", ""mon"": ""11:30-20:45"", ""tue"": ""11:30-20:45"", ""wed"": ""11:30-20:45"", ""thu"": ""11:30-20:45"", ""fri"": ""11:30-20:45"", ""sat"": ""11:30-20:45""}",74.0
"{""open"": true, ""displayedHours"": ""11:30-21:00"", ""sun"": ""11:30-21:00"", ""mon"": ""11:30-21:00"", ""tue"": ""11:30-21:00"", ""wed"": ""11:30-21:00"", ""thu"": ""11:30-21:00"", ""fri"": ""11:30-21:00"", ""sat"": ""11:30-21:00""}",76.0
"{""open"": true, ""displayedHours"": ""09:00-22:00"", ""sun"": ""09:00-20:30"", ""mon"": ""10:00-20:00"", ""tue"": ""10:00-20:00"", ""wed"": ""10:00-20:00"", ""thu"": ""09:00-22:00"", ""fri"": ""09:00-22:00"", ""sat"": ""09:00-22:00""}",93.5
"{""open"": true, ""displayedHours"": ""09:00-22:00"", ""sun"": ""09:00-22:00"", ""mon"": ""09:00-22:00"", ""tue"": ""09:00-22:00"", ""wed"": ""09:00-22:00"", ""thu"": ""09:00-22:00"", ""fri"": ""09:00-22:00"", ""sat"": ""09:00-22:00""}",104.0
"{""open"": true, ""displayedHours"": ""11:30-21:00"", ""sun"": ""11:30-21:00"", ""mon"": ""11:30-21:00"", ""tue"": ""11:30-21:00"", ""wed"": ""11:30-21:00"", ""thu"": ""11:30-21:00"", ""fri"": ""11:30-21:00"", ""sat"": ""11:30-21:00""}",76.0
"{""open"": true, ""displayedHours"": ""11:30-21:00"", ""sun"": ""11:30-21:00"", ""mon"": ""11:30-21:15"", ""tue"": ""11:30-21:15"", ""wed"": ""11:30-21:00"", ""thu"": ""11:30-21:00"", ""fri"": ""11:30-21:00"", ""sat"": ""11:30-21:00""}",76.5
"{""open"": true, ""displayedHours"": ""11:30-21:00"", ""sun"": ""11:30-21:00"", ""mon"": ""11:30-21:00"", ""tue"": ""11:30-21:00"", ""wed"": ""11:30-21:00"", ""thu"": ""11:30-21:00"", ""fri"": ""11:30-21:00"", ""sat"": ""11:30-21:00""}",76.0
"{""open"": true, ""displayedHours"": ""11:00-20:15"", ""sun"": ""11:00-20:15"", ""mon"": ""11:00-20:15"", ""tue"": ""11:00-20:15"", ""wed"": ""11:00-20:15"", ""thu"": ""11:00-20:15"", ""fri"": ""11:00-20:15"", ""sat"": ""11:00-20:15""}",74.0
"{""open"": true, ""displayedHours"": ""11:00-20:00"", ""sun"": ""11:00-20:00"", ""mon"": ""11:00-20:00"", ""tue"": ""11:00-20:00"", ""wed"": ""11:00-20:00"", ""thu"": ""11:00-20:00"", ""fri"": ""11:00-20:00"", ""sat"": ""11:00-20:00""}",72.0
"{""open"": true, ""displayedHours"": ""09:00-21:45"", ""sun"": ""09:00-21:45"", ""mon"": ""09:00-21:45"", ""tue"": ""09:00-21:45"", ""wed"": ""09:00-21:45"", ""thu"": ""09:00-21:45"", ""fri"": ""09:00-21:45"", ""sat"": ""09:00-21:45""}",102.0
"{""open"": true, ""displayedHours"": ""11:00-20:30"", ""sun"": ""11:00-20:30"", ""mon"": ""11:00-20:30"", ""tue"": ""11:00-20:30"", ""wed"": ""11:00-20:30"", ""thu"": ""11:00-20:30"", ""fri"": ""11:00-20:30"", ""sat"": ""11:00-20:30""}",76.0
"{""open"": true, ""displayedHours"": ""11:30-19:00"", ""sun"": ""Closed"", ""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""Closed"", ""thu"": ""Closed"", ""fri"": ""Closed"", ""sat"": ""11:30-19:00""}",15.0
"{""open"": true, ""displayedHours"": ""11:00-21:00"", ""sun"": ""11:00-21:00"", ""mon"": ""11:00-21:00"", ""tue"": ""11:00-21:00"", ""wed"": ""11:00-21:00"", ""thu"": ""11:00-21:00"", ""fri"": ""11:00-21:00"", ""sat"": ""11:00-21:00""}",80.0
"{""open"": true, ""displayedHours"": ""10:00-21:00"", ""sun"": ""10:00-21:00"", ""mon"": ""10:00-21:00"", ""tue"": ""10:00-21:00"", ""wed"": ""10:00-21:00"", ""thu"": ""10:00-21:00"", ""fri"": ""10:00-21:00"", ""sat"": ""10:00-21:00""}",88.0
"{""open"": true, ""displayedHours"": ""09:00-20:00"", ""sun"": ""09:00-20:00"", ""mon"": ""09:00-20:00"", ""tue"": ""09:00-20:00"", ""wed"": ""09:00-20:00"", ""thu"": ""09:00-20:00"", ""fri"": ""09:00-20:00"", ""sat"": ""09:00-20:00""}",88.0
"{""open"": true, ""displayedHours"": ""10:30-21:00"", ""sun"": ""10:30-21:00"", ""mon"": ""10:30-21:00"", ""tue"": ""10:30-21:00"", ""wed"": ""10:30-21:00"", ""thu"": ""10:30-21:00"", ""fri"": ""10:30-21:00"", ""sat"": ""10:30-21:00""}",84.0
"{""open"": true, ""displayedHours"": ""10:00-21:30"", ""sun"": ""10:00-21:30"", ""mon"": ""10:00-21:30"", ""tue"": ""10:00-21:30"", ""wed"": ""10:00-21:30"", ""thu"": ""10:00-21:30"", ""fri"": ""10:00-21:30"", ""sat"": ""10:00-21:30""}",92.0
"{""open"": true, ""displayedHours"": ""10:00-21:00"", ""sun"": ""10:00-21:00"", ""mon"": ""10:00-21:00"", ""tue"": ""10:00-21:00"", ""wed"": ""10:00-21:00"", ""thu"": ""10:00-21:00"", ""fri"": ""10:00-21:00"", ""sat"": ""10:00-21:00""}",88.0
"{""open"": true, ""displayedHours"": ""11:00-20:30"", ""sun"": ""11:00-20:30"", ""mon"": ""11:00-20:30"", ""tue"": ""11:00-20:30"", ""wed"": ""11:00-20:30"", ""thu"": ""11:00-20:30"", ""fri"": ""11:00-20:30"", ""sat"": ""11:00-20:30""}",76.0
"{""open"": true, ""displayedHours"": ""10:00-20:30"", ""sun"": ""10:00-20:30"", ""mon"": ""10:00-20:30"", ""tue"": ""10:00-20:30"", ""wed"": ""10:00-20:30"", ""thu"": ""10:00-20:30"", ""fri"": ""10:00-20:30"", ""sat"": ""10:00-20:30""}",84.0
"{""open"": true, ""displayedHours"": ""11:00-20:00"", ""sun"": ""11:00-20:00"", ""mon"": ""11:00-20:00"", ""tue"": ""11:00-20:00"", ""wed"": ""11:00-20:00"", ""thu"": ""11:00-20:00"", ""fri"": ""11:00-20:00"", ""sat"": ""11:00-20:00""}",72.0
"{""open"": true, ""displayedHours"": ""11:00-21:30"", ""sun"": ""11:00-21:30"", ""mon"": ""11:00-21:30"", ""tue"": ""11:00-21:30"", ""wed"": ""11:00-21:30"", ""thu"": ""11:00-21:30"", ""fri"": ""11:00-21:30"", ""sat"": ""11:00-21:30""}",84.0
"{""open"": true, ""displayedHours"": ""10:30-21:00"", ""sun"": ""10:30-21:00"", ""mon"": ""10:30-21:00"", ""tue"": ""10:30-21:00"", ""wed"": ""10:30-21:00"", ""thu"": ""10:30-21:00"", ""fri"": ""10:30-21:00"", ""sat"": ""10:30-21:00""}",84.0
"{""open"": true, ""displayedHours"": ""10:00-20:00"", ""sun"": ""10:00-20:00"", ""mon"": ""10:00-20:00"", ""tue"": ""10:00-20:00"", ""wed"": ""10:00-20:00"", ""thu"": ""10:00-20:00"", ""fri"": ""10:00-20:00"", ""sat"": ""10:00-20:00""}",80.0
"{""open"": true, ""displayedHours"": ""10:00-19:30"", ""sun"": ""10:00-19:30"", ""mon"": ""10:00-19:30"", ""tue"": ""10:00-19:30"", ""wed"": ""10:00-19:30"", ""thu"": ""10:00-19:30"", ""fri"": ""10:00-19:30"", ""sat"": ""10:00-19:30""}",76.0
"{""open"": true, ""displayedHours"": ""10:55-19:40"", ""sun"": ""10:55-19:40"", ""mon"": ""10:55-19:40"", ""tue"": ""10:55-19:40"", ""wed"": ""10:55-19:40"", ""thu"": ""10:55-19:40"", ""fri"": ""10:55-19:40"", ""sat"": ""10:55-19:40""}",70.0
"{""open"": true, ""displayedHours"": ""10:00-21:45"", ""sun"": ""10:00-21:45"", ""mon"": ""10:00-21:45"", ""tue"": ""10:00-21:45"", ""wed"": ""10:00-21:45"", ""thu"": ""10:00-21:45"", ""fri"": ""10:00-21:45"", ""sat"": ""10:00-21:45""}",94.0
"{""open"": true, ""displayedHours"": ""10:00-20:30"", ""sun"": ""10:00-20:30"", ""mon"": ""10:00-20:30"", ""tue"": ""10:00-20:30"", ""wed"": ""10:00-20:30"", ""thu"": ""10:00-20:30"", ""fri"": ""10:00-20:30"", ""sat"": ""10:00-20:30""}",84.0
"{""open"": true, ""displayedHours"": ""10:00-18:30"", ""sun"": ""10:00-18:30"", ""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""Closed"", ""thu"": ""Closed"", ""fri"": ""10:00-18:30"", ""sat"": ""10:00-18:30""}",34.0
"{""open"": true, ""displayedHours"": ""11:00-15:00 15:00-20:00"", ""sun"": ""11:00-15:00 15:00-20:00"", ""mon"": ""11:00-15:00 15:00-20:00"", ""tue"": ""11:00-15:00 15:00-20:00"", ""wed"": ""11:00-15:00 15:00-20:00"", ""thu"": ""11:00-15:00 15:00-20:00"", ""fri"": ""11:00-15:00 15:00-20:00"", ""sat"": ""11:00-15:00 15:00-20:00""}",72.0
"{""open"": true, ""displayedHours"": ""11:00-21:30"", ""sun"": ""11:00-21:30"", ""mon"": ""11:30-20:45"", ""tue"": ""11:30-20:45"", ""wed"": ""11:30-20:45"", ""thu"": ""11:30-20:45"", ""fri"": ""11:30-21:30"", ""sat"": ""11:00-21:30""}",78.5
"{""open"": true, ""displayedHours"": ""09:00-21:00"", ""sun"": ""09:00-21:00"", ""mon"": ""09:00-21:00"", ""tue"": ""09:00-21:00"", ""wed"": ""09:00-21:00"", ""thu"": ""09:00-21:00"", ""fri"": ""09:00-21:00"", ""sat"": ""09:00-21:00""}",96.0
"{""open"": true, ""displayedHours"": ""10:30-21:30"", ""sun"": ""10:30-21:30"", ""mon"": ""10:30-21:30"", ""tue"": ""10:30-21:30"", ""wed"": ""10:30-21:30"", ""thu"": ""10:30-21:30"", ""fri"": ""10:30-21:30"", ""sat"": ""10:30-21:30""}",88.0
"{""open"": true, ""displayedHours"": ""09:00-21:00"", ""sun"": ""09:00-21:00"", ""mon"": ""09:00-21:00"", ""tue"": ""09:00-21:00"", ""wed"": ""09:00-21:00"", ""thu"": ""09:00-21:00"", ""fri"": ""09:00-21:00"", ""sat"": ""09:00-21:00""}",96.0
"{""open"": true, ""displayedHours"": ""11:00-21:30"", ""sun"": ""11:00-21:30"", ""mon"": ""11:30-20:30"", ""tue"": ""11:30-20:30"", ""wed"": ""11:30-20:30"", ""thu"": ""11:30-20:30"", ""fri"": ""11:30-21:30"", ""sat"": ""11:00-21:30""}",77.5
"{""open"": true, ""displayedHours"": ""09:00-21:45"", ""sun"": ""09:00-21:45"", ""mon"": ""09:00-21:45"", ""tue"": ""09:00-21:45"", ""wed"": ""09:00-21:45"", ""thu"": ""09:00-21:45"", ""fri"": ""09:00-21:45"", ""sat"": ""09:00-21:45""}",102.0
"{""open"": true, ""displayedHours"": ""11:00-21:00"", ""sun"": ""10:00-22:00"", ""mon"": ""11:00-21:00"", ""tue"": ""11:00-21:00"", ""wed"": ""11:00-21:00"", ""thu"": ""11:00-21:00"", ""fri"": ""11:00-21:00"", ""sat"": ""11:00-21:00""}",82.0
"{""open"": true, ""displayedHours"": ""09:00-17:30"", ""sun"": ""09:00-17:30"", ""mon"": ""09:00-17:30"", ""tue"": ""09:00-17:30"", ""wed"": ""09:00-17:30"", ""thu"": ""09:00-17:30"", ""fri"": ""09:00-17:30"", ""sat"": ""09:00-17:30""}",68.0
"{""open"": true, ""displayedHours"": ""11:00-21:00"", ""sun"": ""11:00-21:00"", ""mon"": ""11:00-21:00"", ""tue"": ""11:00-21:00"", ""wed"": ""11:00-21:00"", ""thu"": ""11:00-21:00"", ""fri"": ""11:00-21:00"", ""sat"": ""11:00-21:00""}",80.0
"{""displayedHours"": ""Closed"", ""sun"": ""12:00-22:01"", ""mon"": ""11:50-20:00"", ""tue"": ""11:50-20:00"", ""wed"": ""11:50-20:00"", ""thu"": ""11:50-20:00"", ""fri"": ""11:50-20:00"", ""sat"": ""12:00-22:01"", ""tempClosed"": true}",60.86666666666666
"{""open"": true, ""displayedHours"": ""10:00-21:00"", ""sun"": ""10:00-21:00"", ""mon"": ""10:00-21:00"", ""tue"": ""10:00-21:00"", ""wed"": ""10:00-21:00"", ""thu"": ""10:00-21:00"", ""fri"": ""10:00-21:00"", ""sat"": ""10:00-21:00""}",88.0
"{""open"": true, ""displayedHours"": ""11:30-20:30"", ""sun"": ""11:30-20:30"", ""mon"": ""11:30-20:30"", ""tue"": ""11:30-20:30"", ""wed"": ""11:30-20:30"", ""thu"": ""11:30-20:30"", ""fri"": ""11:30-20:30"", ""sat"": ""11:30-20:30""}",72.0
